"LC.MS.run","External_ID2","focal_ID","Cort_pg.mg","Age","Season","Density"
"1_775",209,"'0007B00C21",35.44,257,"Winter",407
"1_775",212,"'0007B00C21",35.44,257,"Winter",407
"1_775",213,"'0007B00C21",35.44,257,"Winter",407
"1_775",215,"'0007B00C21",35.44,257,"Winter",407
"1_775",1,"'0007B1025D",51.04,231,"Winter",407
"1_775",5,"'0007B1025D",51.04,231,"Winter",407
"1_775",6,"'0007B1025D",51.04,231,"Winter",407
"1_775",7,"'0007B1025D",51.04,231,"Winter",407
"1_775",9,"'0007B1025D",51.04,231,"Winter",407
"1_775",11,"'0007B1025D",51.04,231,"Winter",407
"1_775",18,"'0007B1025D",51.04,231,"Winter",407
"1_775",19,"'0007B1025D",51.04,231,"Winter",407
"1_775",20,"'0007B1025D",51.04,231,"Winter",407
"1_775",21,"'0007B1025D",51.04,231,"Winter",407
"1_775",22,"'0007B1025D",51.04,231,"Winter",407
"1_775",24,"'0007B1025D",51.04,231,"Winter",407
"1_775",26,"'0007B1025D",51.04,231,"Winter",407
"1_775",28,"'0007B1025D",51.04,231,"Winter",407
"1_775",30,"'0007B1025D",51.04,231,"Winter",407
"1_775",31,"'0007B1025D",51.04,231,"Winter",407
"1_775",32,"'0007B1025D",51.04,231,"Winter",407
"1_775",35,"'0007B1025D",51.04,231,"Winter",407
"1_775",37,"'0007B1025D",51.04,231,"Winter",407
"1_775",39,"'0007B1025D",51.04,231,"Winter",407
"1_775",40,"'0007B1025D",51.04,231,"Winter",407
"1_775",42,"'0007B1025D",51.04,231,"Winter",407
"1_775",46,"'0007B1025D",51.04,231,"Winter",407
"1_775",47,"'0007B1025D",51.04,231,"Winter",407
"1_775",50,"'0007B1025D",51.04,231,"Winter",407
"1_775",52,"'0007B1025D",51.04,231,"Winter",407
"1_775",54,"'0007B1025D",51.04,231,"Winter",407
"1_775",57,"'0007B1025D",51.04,231,"Winter",407
"1_775",58,"'0007B1025D",51.04,231,"Winter",407
"1_775",59,"'0007B1025D",51.04,231,"Winter",407
"1_775",60,"'0007B1025D",51.04,231,"Winter",407
"1_775",62,"'0007B1025D",51.04,231,"Winter",407
"1_775",63,"'0007B1025D",51.04,231,"Winter",407
"1_775",66,"'0007B1025D",51.04,231,"Winter",407
"1_775",67,"'0007B1025D",51.04,231,"Winter",407
"1_775",69,"'0007B1025D",51.04,231,"Winter",407
"1_775",71,"'0007B1025D",51.04,231,"Winter",407
"1_775",72,"'0007B1025D",51.04,231,"Winter",407
"1_775",75,"'0007B1025D",51.04,231,"Winter",407
"1_775",78,"'0007B1025D",51.04,231,"Winter",407
"1_775",79,"'0007B1025D",51.04,231,"Winter",407
"1_775",82,"'0007B1025D",51.04,231,"Winter",407
"1_775",84,"'0007B1025D",51.04,231,"Winter",407
"1_775",86,"'0007B1025D",51.04,231,"Winter",407
"1_775",88,"'0007B1025D",51.04,231,"Winter",407
"1_775",90,"'0007B1025D",51.04,231,"Winter",407
"1_775",91,"'0007B1025D",51.04,231,"Winter",407
"1_775",92,"'0007B1025D",51.04,231,"Winter",407
"1_775",94,"'0007B1025D",51.04,231,"Winter",407
"1_775",96,"'0007B1025D",51.04,231,"Winter",407
"1_775",97,"'0007B1025D",51.04,231,"Winter",407
"1_775",98,"'0007B1025D",51.04,231,"Winter",407
"1_775",99,"'0007B1025D",51.04,231,"Winter",407
"1_775",100,"'0007B1025D",51.04,231,"Winter",407
"1_775",103,"'0007B1025D",51.04,231,"Winter",407
"1_775",104,"'0007B1025D",51.04,231,"Winter",407
"1_775",106,"'0007B1025D",51.04,231,"Winter",407
"1_775",108,"'0007B1025D",51.04,231,"Winter",407
"1_775",112,"'0007B1025D",51.04,231,"Winter",407
"1_775",113,"'0007B1025D",51.04,231,"Winter",407
"1_775",116,"'0007B1025D",51.04,231,"Winter",407
"1_775",117,"'0007B1025D",51.04,231,"Winter",407
"1_775",119,"'0007B1025D",51.04,231,"Winter",407
"1_775",121,"'0007B1025D",51.04,231,"Winter",407
"1_775",123,"'0007B1025D",51.04,231,"Winter",407
"1_775",127,"'0007B1025D",51.04,231,"Winter",407
"1_775",128,"'0007B1025D",51.04,231,"Winter",407
"1_775",129,"'0007B1025D",51.04,231,"Winter",407
"1_775",132,"'0007B1025D",51.04,231,"Winter",407
"1_775",133,"'0007B1025D",51.04,231,"Winter",407
"1_775",136,"'0007B1025D",51.04,231,"Winter",407
"1_775",137,"'0007B1025D",51.04,231,"Winter",407
"1_775",138,"'0007B1025D",51.04,231,"Winter",407
"1_775",139,"'0007B1025D",51.04,231,"Winter",407
"1_775",143,"'0007B1025D",51.04,231,"Winter",407
"1_775",144,"'0007B1025D",51.04,231,"Winter",407
"1_775",146,"'0007B1025D",51.04,231,"Winter",407
"1_775",150,"'0007B1025D",51.04,231,"Winter",407
"1_775",151,"'0007B1025D",51.04,231,"Winter",407
"1_775",152,"'0007B1025D",51.04,231,"Winter",407
"1_775",153,"'0007B1025D",51.04,231,"Winter",407
"1_775",154,"'0007B1025D",51.04,231,"Winter",407
"1_775",155,"'0007B1025D",51.04,231,"Winter",407
"1_775",161,"'0007B1025D",51.04,231,"Winter",407
"1_775",164,"'0007B1025D",51.04,231,"Winter",407
"1_775",165,"'0007B1025D",51.04,231,"Winter",407
"1_775",166,"'0007B1025D",51.04,231,"Winter",407
"1_775",170,"'0007B1025D",51.04,231,"Winter",407
"1_775",174,"'0007B1025D",51.04,231,"Winter",407
"1_775",175,"'0007B1025D",51.04,231,"Winter",407
"1_775",177,"'0007B1025D",51.04,231,"Winter",407
"1_775",178,"'0007B1025D",51.04,231,"Winter",407
"1_775",179,"'0007B1025D",51.04,231,"Winter",407
"1_775",181,"'0007B1025D",51.04,231,"Winter",407
"1_775",185,"'0007B1025D",51.04,231,"Winter",407
"1_775",186,"'0007B1025D",51.04,231,"Winter",407
"1_775",187,"'0007B1025D",51.04,231,"Winter",407
"1_775",188,"'0007B1025D",51.04,231,"Winter",407
"1_775",190,"'0007B1025D",51.04,231,"Winter",407
"1_775",192,"'0007B1025D",51.04,231,"Winter",407
"1_775",193,"'0007B1025D",51.04,231,"Winter",407
"1_775",194,"'0007B1025D",51.04,231,"Winter",407
"1_775",195,"'0007B1025D",51.04,231,"Winter",407
"1_775",197,"'0007B1025D",51.04,231,"Winter",407
"1_775",201,"'0007B1025D",51.04,231,"Winter",407
"1_775",206,"'0007B1025D",51.04,231,"Winter",407
"1_775",207,"'0007B1025D",51.04,231,"Winter",407
"1_775",208,"'0007B1025D",51.04,231,"Winter",407
"1_775",209,"'0007B1025D",51.04,231,"Winter",407
"1_775",212,"'0007B1025D",51.04,231,"Winter",407
"1_775",213,"'0007B1025D",51.04,231,"Winter",407
"1_775",215,"'0007B1025D",51.04,231,"Winter",407
"1_775",1,"'0007B0DF65",36.61,239,"Winter",407
"1_775",5,"'0007B0DF65",36.61,239,"Winter",407
"1_775",6,"'0007B0DF65",36.61,239,"Winter",407
"1_775",7,"'0007B0DF65",36.61,239,"Winter",407
"1_775",9,"'0007B0DF65",36.61,239,"Winter",407
"1_775",11,"'0007B0DF65",36.61,239,"Winter",407
"1_775",18,"'0007B0DF65",36.61,239,"Winter",407
"1_775",19,"'0007B0DF65",36.61,239,"Winter",407
"1_775",20,"'0007B0DF65",36.61,239,"Winter",407
"1_775",21,"'0007B0DF65",36.61,239,"Winter",407
"1_775",22,"'0007B0DF65",36.61,239,"Winter",407
"1_775",24,"'0007B0DF65",36.61,239,"Winter",407
"1_775",26,"'0007B0DF65",36.61,239,"Winter",407
"1_775",28,"'0007B0DF65",36.61,239,"Winter",407
"1_775",30,"'0007B0DF65",36.61,239,"Winter",407
"1_775",31,"'0007B0DF65",36.61,239,"Winter",407
"1_775",32,"'0007B0DF65",36.61,239,"Winter",407
"1_775",35,"'0007B0DF65",36.61,239,"Winter",407
"1_775",37,"'0007B0DF65",36.61,239,"Winter",407
"1_775",39,"'0007B0DF65",36.61,239,"Winter",407
"1_775",40,"'0007B0DF65",36.61,239,"Winter",407
"1_775",42,"'0007B0DF65",36.61,239,"Winter",407
"1_775",46,"'0007B0DF65",36.61,239,"Winter",407
"1_775",47,"'0007B0DF65",36.61,239,"Winter",407
"1_775",50,"'0007B0DF65",36.61,239,"Winter",407
"1_775",52,"'0007B0DF65",36.61,239,"Winter",407
